variable,group,value
AndreyPlotkinOr,Issue,1
AndreyPlotkinOr,Comment,0
ljluisjimenez12,Issue,1
ljluisjimenez12,Comment,1
bhack,Issue,0
bhack,Comment,17
haolingzhang1,Issue,1
haolingzhang1,Comment,1
UsharaniPagadala,Issue,0
UsharaniPagadala,Comment,12
suraj-maniyar,Issue,1
suraj-maniyar,Comment,9
abattery,Issue,0
abattery,Comment,16
thaink,Issue,0
thaink,Comment,4
abhijit1247,Issue,1
abhijit1247,Comment,0
tilakrayal,Issue,0
tilakrayal,Comment,29
tensorflow-butler,Issue,0
tensorflow-butler,Comment,21
rthadur,Issue,5
rthadur,Comment,0
svobora,Issue,1
svobora,Comment,6
impjdi,Issue,0
impjdi,Comment,2
laplacericky,Issue,1
laplacericky,Comment,3
diamar338,Issue,1
diamar338,Comment,0
yngwiepang,Issue,1
yngwiepang,Comment,2
yyoon,Issue,0
yyoon,Comment,2
SanjuSoni,Issue,1
SanjuSoni,Comment,1
DachuanZhao,Issue,1
DachuanZhao,Comment,0
pythonic2020,Issue,0
pythonic2020,Comment,1
ymodak,Issue,0
ymodak,Comment,6
Georgeiva,Issue,1
Georgeiva,Comment,0
Flamefire,Issue,1
Flamefire,Comment,4
qlzh727,Issue,0
qlzh727,Comment,3
zheyuye,Issue,1
zheyuye,Comment,1
luckmoon,Issue,1
luckmoon,Comment,0
Saduf2019,Issue,0
Saduf2019,Comment,13
Keshav2829,Issue,1
Keshav2829,Comment,2
GuyPozner,Issue,1
GuyPozner,Comment,0
mrawding,Issue,1
mrawding,Comment,0
cuneyttanrisever,Issue,1
cuneyttanrisever,Comment,1
lonerzzz,Issue,1
lonerzzz,Comment,1
anpingchen,Issue,1
anpingchen,Comment,0
Nytish,Issue,1
Nytish,Comment,2
fwz-fpga,Issue,1
fwz-fpga,Comment,1
multiverse-tf,Issue,0
multiverse-tf,Comment,2
jeongukjae,Issue,1
jeongukjae,Comment,0
aditisaluja5,Issue,1
aditisaluja5,Comment,0
FSet89,Issue,1
FSet89,Comment,0
yananchen1989,Issue,1
yananchen1989,Comment,0
xiaomsky,Issue,1
xiaomsky,Comment,2
prikmm,Issue,1
prikmm,Comment,2
luozhouyang,Issue,0
luozhouyang,Comment,1
ardtrkc,Issue,1
ardtrkc,Comment,1
rmothukuru,Issue,0
rmothukuru,Comment,7
zakajd,Issue,1
zakajd,Comment,1
harishsureit,Issue,1
harishsureit,Comment,1
fsx950223,Issue,1
fsx950223,Comment,0
MrinalTyagi,Issue,0
MrinalTyagi,Comment,1
worldpeaceaspirer,Issue,4
worldpeaceaspirer,Comment,1
pranathibl,Issue,3
pranathibl,Comment,1
MeghnaNatraj,Issue,0
MeghnaNatraj,Comment,1
berendjan,Issue,1
berendjan,Comment,0
FabianaFerreira,Issue,1
FabianaFerreira,Comment,1
drkhan107,Issue,1
drkhan107,Comment,1
lgeiger,Issue,0
lgeiger,Comment,1
sroener,Issue,1
sroener,Comment,2
ToonTalk,Issue,1
ToonTalk,Comment,0
vishalkumar00,Issue,1
vishalkumar00,Comment,0
sid-sundrani,Issue,1
sid-sundrani,Comment,1
cswhjiang,Issue,2
cswhjiang,Comment,0
robertnoest,Issue,1
robertnoest,Comment,0
Florent4223,Issue,1
Florent4223,Comment,0
tgaddair,Issue,1
tgaddair,Comment,2
DEKHTIARJonathan,Issue,0
DEKHTIARJonathan,Comment,1
gromovkg,Issue,0
gromovkg,Comment,2
Lucy20211,Issue,2
Lucy20211,Comment,3
karimnosseir,Issue,0
karimnosseir,Comment,1
cosmoquester,Issue,1
cosmoquester,Comment,1
laurenmurphyx64,Issue,1
laurenmurphyx64,Comment,0
wangtz,Issue,0
wangtz,Comment,1
jwj04ok,Issue,2
jwj04ok,Comment,0
ashutosh1919,Issue,1
ashutosh1919,Comment,2
RadEdje,Issue,1
RadEdje,Comment,1
bizzyvinci,Issue,1
bizzyvinci,Comment,0
patriklaurell,Issue,1
patriklaurell,Comment,1
Iskers,Issue,1
Iskers,Comment,1
Joocheol,Issue,1
Joocheol,Comment,2
BishmoyPaul,Issue,1
BishmoyPaul,Comment,1
pesekon2,Issue,1
pesekon2,Comment,0
jvishnuvardhan,Issue,0
jvishnuvardhan,Comment,1
fronrfron11,Issue,1
fronrfron11,Comment,1
Stonepia,Issue,1
Stonepia,Comment,0
davidricafort,Issue,1
davidricafort,Comment,2
vinits5,Issue,1
vinits5,Comment,0
budibeta,Issue,1
budibeta,Comment,1
morrisalp,Issue,1
morrisalp,Comment,0
yongtang,Issue,1
yongtang,Comment,0
YuriyTigiev,Issue,1
YuriyTigiev,Comment,2
all-over-the-place,Issue,1
all-over-the-place,Comment,0
otavio-silva,Issue,1
otavio-silva,Comment,0
successAI,Issue,1
successAI,Comment,0
vbod,Issue,1
vbod,Comment,0
emadboctorx,Issue,1
emadboctorx,Comment,0
cl3m3nt,Issue,1
cl3m3nt,Comment,0
HMellor,Issue,1
HMellor,Comment,0
Sudhan97,Issue,1
Sudhan97,Comment,1
srjoglekar246,Issue,0
srjoglekar246,Comment,1
edloper,Issue,0
edloper,Comment,2
feiyouliang,Issue,1
feiyouliang,Comment,0
iusaspb,Issue,1
iusaspb,Comment,1
asishm-wk,Issue,1
asishm-wk,Comment,0
kishorkuttan,Issue,1
kishorkuttan,Comment,3
rainwoodman,Issue,1
rainwoodman,Comment,0
simon-berger,Issue,1
simon-berger,Comment,0
slala2121,Issue,1
slala2121,Comment,0
MarkDaoust,Issue,0
MarkDaoust,Comment,1
ARKAD97,Issue,1
ARKAD97,Comment,0
hjmus,Issue,1
hjmus,Comment,0
ghaliayik,Issue,1
ghaliayik,Comment,0
AhmadObeid,Issue,1
AhmadObeid,Comment,0
aliencaocao,Issue,1
aliencaocao,Comment,0
gauravreddy08,Issue,1
gauravreddy08,Comment,0
mrdbourke,Issue,0
mrdbourke,Comment,1